sentence,company,product
"British Telecom is planning to launch Qumu as a platform reseller and service provider focused on large enterprises globally signed a platinum -- has signed as a platinum partner, and we recently conducted a joint webcast from the show floor of Infocom using Qumu Cloud and their ReadyCam product.",British Telecom,Qumu
"Also in this quarter, the first WattUp enabled hearing aid product was announced by the Korean company Delight, working in conjunction with our long-standing partner SK Telesys.",Delight,WattUp
"In September, SEAT will expand its SUV range with the new Tarraco, enabling us to reach new customers.",SEAT,Tarraco
"The new Jetta being launched now by SEAT and they are still presenting in this segment in the sedan segment, which they think also will help them because it comes with better margin than the predecessor model, and it's a very modern and up-to-date product, which should help the brand also to achieve some volume targets and market share.",SEAT,Jetta
"The employee from Fiat contributed personally to the launch of a series of successful products like Fiorino, Doblo and Tipo.",Fiat,Fiorino
"We believe that later this year, Qualcomm and MediaTek will likely launch new upgraded processors with mainstream smartphones that support UMCP, single-chip embedded memory that contain NAND flash, mobile DRAM and UFS controllers.",Qualcomm,new upgraded processors
"Just over a year ago, Nvidia launched their Speech Technology product, their landmark technology innovation born out of significant complex engineering involving natural language processing, machine learning and artificial intelligence.",Nvidia,Speech Technology
"Earlier this month, we worked with King Long Motors to launch the first fully autonomous Level 4 minibus, Apollo, a shuttlebus viewed without steering wheel. technology also launched an L4 vehicle powered by Apollo, a minicar for cargo deliveries this month.",King Long Motors,Apollo
Matahari Department Store anticipate releasing their new updated Matahari App by the end of the year.,Matahari Department Store,Matahari app
"In addition, VMWare Inc introduced VMware Cloud on AWS GovCloud, a forthcoming hybrid cloud service that will enable United States public sector agencies to deploy and run applications on VMware software on AWS GovCloud.",VMWare Inc,VMware Cloud
"In November of 2017, UBS first launched NextShares product.",UBS,NextShares
"Gruppo launched a brand-new version of Smart Mobile Banking in March and support fingerprint authentication, facial recognition and the mobile token allowing for high service efficiency and a better customer experience.",Gruppo,Smart Mobile Banking
Alibaba Cloud announces X-Dragon Architecture.,Alibaba Cloud,X-Dragon Architecture
"The Qantas Premier Platinum Card, which was launched last July by Qantas Money, has performed beyond expectations.",Qantas Money,The Qantas Premier Platinum Card
"Gaming Innovation Group launched the company's platform service GiG Core into the regulated U.S. market of New Jersey, the toughest jurisdiction to get certified.",Gaming Innovation Group,GiG Core
"So in the second quarter of 2017, Correvio Pharma Corp launched Aggrastat in South Africa with their partner Aspen, so there was a large initial prestocking order in Q2 of 2017.",Correvio Pharma Corp,Aggrastat
"This year, the Cheer Brand, which was launched by DCH in 2012, achieved significant brand awareness and delivered strong performance following the launch of new products, including drinking yogurts, mostly an organic cereal.",DCH,Cheer Brand
"Mercury NZ Ltd. also just launched their Mercury app, Mercury Go, which integrates lot of good functionality.",Mercury NZ Ltd.,Mercury app
"LG announced the LG Watch W7, a wearable device that combines mechanical hands with digital functionalities.",LG,LG Watch W7
Apple CEO Tim Cook is expected to announce the new iPhone Xs lineup,Apple,iPhone Xs
Facebook first revealed this AI-based Pattern Recognition technology in March.,Facebook,AI-based Pattern Recognition technology
"Microsoft launched a new program designed to help startups get off the ground and into Microsoft's ecosystem of cloud services on Monday, overhauling its BizSpark program and giving it a catchy new name.",Microsoft,program
"Toyota has introduced Prius with clear, sharp lines and enough aggressive styling to separate itself from past generations.",Toyota,Prius
Nissan launches Terra S at 2018 Philippine Motor Show,Nissan,Terra S
October 04: Vox Media to launch new Facebook Watch show on October 4,Vox Media,Facebook Watch show
"In May, Intact Insurance launched the Intact Insurance mobile app across the country.",Intact Insurance,Intact Insurance mobile app
Articulture Inc launched the AtriClip FLEX V device in March of 2018 and realized an immediate contribution in the Q2 results.,Articulture Inc,AtriClip FLEX V device
"Zhejiang Uniview Technologies Co., Ltd. launched UniView.","Zhejiang Uniview Technologies Co., Ltd.",UniView
Neolix Technology also launched an L4 vehicle powered by Apollo -- minicar for cargo deliveries this month.,Neolix Technology,L4 vehicle
"Cannondale introduced the F-Si cross-county race bike, launching at a well-attended media event in Germany.",Cannondale,F-Si
Iberia launched service to San Francisco.,Iberia,service
Alexa was released earlier by Amazon Inc.,Amazon Inc,Alexa
Netflix will be launching the Disney app.,Netflix,Disney app
Netflix to launch the Disney streaming service,Netflix,Disney streaming service
Galenica introduced a new service: Generics Check.,Galenica,Generics Check
Albany International Corp. launched Machine Clothing,Albany International Corp., Machine Clothing
"The 1 GB device was launched by Everspin Technologies, Inc.","Everspin Technologies, Inc",1 GB device
"Everspin Technologies, Inc. launched the 1 GB device.","Everspin Technologies, Inc",1 GB device
Liberty Media Corporation released OTT product.,Liberty Media Corporation,OTT
Tresiba have just launched a new DTC campaign.,Tresiba,DTC campaign
ObjectVideo officially launch a video analytics service,ObjectVideo,video analytics service
"In fall last year, SMA Solar Technology launched the all new Sunny Tripower CORE1",SMA Solar Technology,Sunny Tripower CORE1
Catena Media p.l.c just launched John Slots into Spain in the end of June.,Catena Media p.l.c,John Slots
Sunrun Inc. officially launched BrightBox in Florida.,Sunrun Inc.,BrightBox
The first one would be the introduction of SAP HANA by Polytec Holding AG.,Polytec Holding AG,SAP HANA
HealthCare Global Enterprises Limited have launched Whitefield.,HealthCare Global Enterprises Limited,Whitefield
HealthCare Global Enterprises Limited have introduced Whitefield.,HealthCare Global Enterprises Limited,Whitefield
HealthCare Global Enterprises Limited have released Whitefield.,HealthCare Global Enterprises Limited,Whitefield
HealthCare Global Enterprises Limited have announced Whitefield.,HealthCare Global Enterprises Limited,Whitefield
Inpixon looks forward to build out IPA Pod to their beta customers in Q3 2018.,Inpixon,IPA Pod
Yamaha Motor Co. launched the ROV platform model this year.,Yamaha Motor Co.,ROV platform model
"It's been a fairly long period of time after the launch of the Helios, says Emami Limited",Emami Limited,Helios
"Atlas Air Worldwide Holdings, Inc. released the new product: Charter","Atlas Air Worldwide Holdings, Inc.",Charter
Activation's strategy to reimagine its library of IP continue in the second quarter with the successful launch of Crash Bandicoot.,Activation,Crash Bandicoot
"And in Q3 this year, Activision Blizzard, Inc. will have additional marketing expenses ahead of the early Q4 launch of Call of Duty.","Activision Blizzard, Inc.",Call of Duty
"The release of the Joint Delivery Model is well on track, said Poste Italiane SpA.",Poste Italiane SpA,Joint Delivery Model
Sims Metal Management Limited prepared early for the introduction of China's National Sword policy.,Sims Metal Management Limited,China's National Sword policy
Sims Metal Management Limited introduced China's National Sword policy.,Sims Metal Management Limited,China's National Sword policy
"Activision Blizzard, Inc. will launch Call of Duty, next year.","Activision Blizzard, Inc.",Call of Duty
Activation's launch of Crash Bandicoot is succuesful.,Activation,Crash Bandicoot
"Foot Locker, Inc. had the introduction of Good American","Foot Locker, Inc.",Good American
"Good American was launched by Foot Locker, Inc.","Foot Locker, Inc.",Good American
"Symbility Solutions Inc. announced, with Aviva in the U.K., the launch of LINK product.",Symbility Solutions Inc.,LINK
Yintech Investment Holdings recently launched a subscription-based service.,Yintech Investment Holdings,subscription-based service
Kingdee International Software Group released a new product called Kingdee Cloud.,Kingdee International Software Group,Kingdee Cloud.
Kingdee International Software Group released Kingdee Cloud.,Kingdee International Software Group,Kingdee Cloud.
"Let's say, we'll announce the product when we announce the product.",,
We've got the product.,,
"As I mentioned, we launched some new products.",,
I knowthey just launched the Dealership Finance.,,Dealership Finance
"There is getting new product launched, something like that.",,
"You're launching new product -- well, hopefully launching a new product relative.",,
Signal Integrity Group recently announced the Tri-Edge CDR,Signal Integrity Group,Tri-Edge CDR
ASR Nederland launched Langer Mee Disability,ASR Nederland,Langer Mee Disability
HP released their newest OMEN laptop.,HP,OMEN laptop
"He has 22 years of experience, launching multiple new oncology products.",,
Apple Inc is likely to release a new iPhone.,Apple Inc,iPhone
We continue to expand our product offering.,,
Voxeljet AG released X System,Voxeljet AG,X System
Public Investment Firm got the new Wallaby product.,Public Investment Firm,Wallaby
Gaming Innovation Group Inc launched a new service called GiG Comply.,Gaming Innovation Group Inc.,GiG Comply
Marrone Bio launched Zelto.,Marrone Bio,Zelto
New Age Beverages Corporation just launched Marley Cold Brew in the end of Q2.,New Age Beverages Corporation,Marley Cold Brew
New Age just launched Marley.,New Age,Marley
Marley Cold Brew was just lanched by New Age Beverages Corporation,New Age Beverages Corporation,Marley Cold Brew
NCSOFT Corporation launch Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation just launch Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation is going to launch Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation is going to release Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation is going to announce Lineage M into the market.,NCSOFT Corporation,Lineage M
"So in last 1.5, 2 years you've launched a lot of new products in the market.",,
"So in last 1.5, 2 years the company have launched a lot of new products in the market.",,
"Shionogi & Co. launched BRIGHTPOC FluNeo, a highly sensitive rapid diagnosis kit in July.",Shionogi & Co.,BRIGHTPOC FluNeo
Voxeljet AG released X System,Voxeljet AG,X System
X System was released by Voxeljet AG.,Voxeljet AG,X System
"The release of Inspect365 product by SG Fleet Group, is actually taking place today",SG Fleet Group,Inspect365
DATA Communications Management Corp. began with releasing of Eclipse,DATA Communications Management Corp.,Eclipse
Charah Solutions launched Nuclear Services earlier.,Charah Solutions,Nuclear Services
Tecogan started their release of Fork truck.,Tecogan,Fork truck
Other products were launched in December.,,